case_submitter_id,project_id,chromosome,genome_bin_1mb_start,genome_bin_1mb_end,mutation_count
TCGA-05-4410,TCGA-LUAD,chr5,76000000,76999999,1
TCGA-05-4410,TCGA-LUAD,chr5,83000000,83999999,1
TCGA-05-4410,TCGA-LUAD,chr5,138000000,138999999,1
TCGA-05-4410,TCGA-LUAD,chr5,149000000,149999999,1
TCGA-05-4410,TCGA-LUAD,chr5,150000000,150999999,1
TCGA-05-4410,TCGA-LUAD,chr5,151000000,151999999,2
TCGA-05-4410,TCGA-LUAD,chr5,177000000,177999999,1
TCGA-05-4410,TCGA-LUAD,chr5,179000000,179999999,2
TCGA-05-4410,TCGA-LUAD,chr5,181000000,181999999,1
TCGA-05-4410,TCGA-LUAD,chr6,47000000,47999999,1
TCGA-05-4410,TCGA-LUAD,chr6,56000000,56999999,1
TCGA-05-4410,TCGA-LUAD,chr6,60000000,60999999,1
TCGA-05-4410,TCGA-LUAD,chr6,65000000,65999999,2
TCGA-05-4410,TCGA-LUAD,chr6,80000000,80999999,1
TCGA-05-4410,TCGA-LUAD,chr6,159000000,159999999,1
TCGA-05-4410,TCGA-LUAD,chr6,166000000,166999999,1
TCGA-05-4410,TCGA-LUAD,chr7,50000000,50999999,2
TCGA-05-4410,TCGA-LUAD,chr7,73000000,73999999,1
TCGA-05-4410,TCGA-LUAD,chr7,89000000,89999999,1
TCGA-05-4410,TCGA-LUAD,chr7,92000000,92999999,1
TCGA-05-4410,TCGA-LUAD,chr7,93000000,93999999,1
TCGA-05-4410,TCGA-LUAD,chr7,123000000,123999999,1
TCGA-05-4410,TCGA-LUAD,chr7,138000000,138999999,1
TCGA-05-4410,TCGA-LUAD,chr7,143000000,143999999,1
TCGA-05-4410,TCGA-LUAD,chr7,147000000,147999999,1
TCGA-05-4410,TCGA-LUAD,chr8,39000000,39999999,1
TCGA-05-4410,TCGA-LUAD,chr8,43000000,43999999,1
TCGA-05-4410,TCGA-LUAD,chr8,47000000,47999999,1
TCGA-05-4410,TCGA-LUAD,chr8,68000000,68999999,1
TCGA-05-4410,TCGA-LUAD,chr8,85000000,85999999,2
TCGA-05-4410,TCGA-LUAD,chr8,130000000,130999999,1
TCGA-05-4410,TCGA-LUAD,chr9,128000000,128999999,1
TCGA-05-4410,TCGA-LUAD,chrX,18000000,18999999,1
TCGA-05-4410,TCGA-LUAD,chrX,78000000,78999999,1
TCGA-05-4410,TCGA-LUAD,chrX,105000000,105999999,1
TCGA-05-4410,TCGA-LUAD,chrX,111000000,111999999,1
TCGA-05-4410,TCGA-LUAD,chrX,126000000,126999999,1
TCGA-05-4410,TCGA-LUAD,chrX,129000000,129999999,1
TCGA-05-4410,TCGA-LUAD,chrX,149000000,149999999,1
TCGA-18-3409,TCGA-LUSC,chr1,0,999999,3
TCGA-18-3409,TCGA-LUSC,chr1,2000000,2999999,2
TCGA-18-3409,TCGA-LUSC,chr1,3000000,3999999,3
TCGA-18-3409,TCGA-LUSC,chr1,6000000,6999999,2
TCGA-18-3409,TCGA-LUSC,chr1,7000000,7999999,2
TCGA-18-3409,TCGA-LUSC,chr1,8000000,8999999,1
TCGA-18-3409,TCGA-LUSC,chr1,9000000,9999999,2
TCGA-18-3409,TCGA-LUSC,chr1,10000000,10999999,3
TCGA-18-3409,TCGA-LUSC,chr1,11000000,11999999,4
TCGA-18-3409,TCGA-LUSC,chr1,12000000,12999999,2
TCGA-18-3409,TCGA-LUSC,chr1,15000000,15999999,6
TCGA-18-3409,TCGA-LUSC,chr1,16000000,16999999,3
TCGA-18-3409,TCGA-LUSC,chr1,18000000,18999999,3
TCGA-18-3409,TCGA-LUSC,chr1,19000000,19999999,2
TCGA-18-3409,TCGA-LUSC,chr1,20000000,20999999,2
TCGA-18-3409,TCGA-LUSC,chr1,21000000,21999999,2
TCGA-18-3409,TCGA-LUSC,chr1,22000000,22999999,4
TCGA-18-3409,TCGA-LUSC,chr1,23000000,23999999,1
TCGA-18-3409,TCGA-LUSC,chr1,24000000,24999999,5
TCGA-18-3409,TCGA-LUSC,chr1,25000000,25999999,1
TCGA-18-3409,TCGA-LUSC,chr1,26000000,26999999,6
TCGA-18-3409,TCGA-LUSC,chr1,27000000,27999999,1
TCGA-18-3409,TCGA-LUSC,chr1,30000000,30999999,1
TCGA-18-3409,TCGA-LUSC,chr1,31000000,31999999,1
TCGA-18-3409,TCGA-LUSC,chr1,32000000,32999999,4
TCGA-18-3409,TCGA-LUSC,chr1,33000000,33999999,2
TCGA-18-3409,TCGA-LUSC,chr1,34000000,34999999,1
TCGA-18-3409,TCGA-LUSC,chr1,35000000,35999999,1
TCGA-18-3409,TCGA-LUSC,chr1,36000000,36999999,1
TCGA-18-3409,TCGA-LUSC,chr1,37000000,37999999,1
TCGA-18-3409,TCGA-LUSC,chr1,38000000,38999999,1
TCGA-18-3409,TCGA-LUSC,chr1,39000000,39999999,3
TCGA-18-3409,TCGA-LUSC,chr1,40000000,40999999,2
TCGA-18-3409,TCGA-LUSC,chr1,41000000,41999999,3
TCGA-18-3409,TCGA-LUSC,chr1,42000000,42999999,1
TCGA-18-3409,TCGA-LUSC,chr1,43000000,43999999,5
TCGA-18-3409,TCGA-LUSC,chr1,44000000,44999999,2
TCGA-18-3409,TCGA-LUSC,chr1,46000000,46999999,2
TCGA-18-3409,TCGA-LUSC,chr1,47000000,47999999,1
TCGA-18-3409,TCGA-LUSC,chr1,48000000,48999999,2
TCGA-18-3409,TCGA-LUSC,chr1,52000000,52999999,1
TCGA-18-3409,TCGA-LUSC,chr1,53000000,53999999,2
TCGA-18-3409,TCGA-LUSC,chr1,54000000,54999999,3
TCGA-18-3409,TCGA-LUSC,chr1,56000000,56999999,1
TCGA-18-3409,TCGA-LUSC,chr1,58000000,58999999,1
TCGA-18-3409,TCGA-LUSC,chr1,60000000,60999999,1
TCGA-18-3409,TCGA-LUSC,chr1,62000000,62999999,5
TCGA-18-3409,TCGA-LUSC,chr1,63000000,63999999,2
TCGA-18-3409,TCGA-LUSC,chr1,64000000,64999999,2
TCGA-18-3409,TCGA-LUSC,chr1,66000000,66999999,2
TCGA-18-3409,TCGA-LUSC,chr1,67000000,67999999,2
TCGA-18-3409,TCGA-LUSC,chr1,70000000,70999999,1
TCGA-18-3409,TCGA-LUSC,chr1,71000000,71999999,1
TCGA-18-3409,TCGA-LUSC,chr1,74000000,74999999,3
TCGA-18-3409,TCGA-LUSC,chr1,75000000,75999999,2
TCGA-18-3409,TCGA-LUSC,chr1,76000000,76999999,2
TCGA-18-3409,TCGA-LUSC,chr1,77000000,77999999,1
TCGA-18-3409,TCGA-LUSC,chr1,78000000,78999999,2
TCGA-18-3409,TCGA-LUSC,chr1,79000000,79999999,1
TCGA-18-3409,TCGA-LUSC,chr1,84000000,84999999,1
TCGA-18-3409,TCGA-LUSC,chr1,85000000,85999999,1
TCGA-18-3409,TCGA-LUSC,chr1,86000000,86999999,1
TCGA-18-3409,TCGA-LUSC,chr1,91000000,91999999,3
TCGA-18-3409,TCGA-LUSC,chr1,92000000,92999999,2
TCGA-18-3409,TCGA-LUSC,chr1,93000000,93999999,1
TCGA-18-3409,TCGA-LUSC,chr1,97000000,97999999,3
TCGA-18-3409,TCGA-LUSC,chr1,98000000,98999999,1
TCGA-18-3409,TCGA-LUSC,chr1,99000000,99999999,1
TCGA-18-3409,TCGA-LUSC,chr1,100000000,100999999,1
TCGA-18-3409,TCGA-LUSC,chr1,101000000,101999999,1
TCGA-18-3409,TCGA-LUSC,chr1,102000000,102999999,1
TCGA-18-3409,TCGA-LUSC,chr1,107000000,107999999,1
TCGA-18-3409,TCGA-LUSC,chr1,109000000,109999999,1
TCGA-18-3409,TCGA-LUSC,chr1,110000000,110999999,4
TCGA-18-3409,TCGA-LUSC,chr1,111000000,111999999,1
TCGA-18-3409,TCGA-LUSC,chr1,112000000,112999999,2
TCGA-18-3409,TCGA-LUSC,chr1,113000000,113999999,1
TCGA-18-3409,TCGA-LUSC,chr1,115000000,115999999,1
TCGA-18-3409,TCGA-LUSC,chr1,117000000,117999999,3
TCGA-18-3409,TCGA-LUSC,chr1,118000000,118999999,3
TCGA-18-3409,TCGA-LUSC,chr1,119000000,119999999,3
TCGA-18-3409,TCGA-LUSC,chr1,146000000,146999999,1
TCGA-18-3409,TCGA-LUSC,chr1,147000000,147999999,3
TCGA-18-3409,TCGA-LUSC,chr1,149000000,149999999,2
TCGA-18-3409,TCGA-LUSC,chr1,150000000,150999999,5
TCGA-18-3409,TCGA-LUSC,chr1,151000000,151999999,4
TCGA-18-3409,TCGA-LUSC,chr1,152000000,152999999,6
TCGA-18-3409,TCGA-LUSC,chr1,153000000,153999999,3
TCGA-18-3409,TCGA-LUSC,chr1,154000000,154999999,2
TCGA-18-3409,TCGA-LUSC,chr1,155000000,155999999,7
TCGA-18-3409,TCGA-LUSC,chr1,156000000,156999999,6
TCGA-18-3409,TCGA-LUSC,chr1,157000000,157999999,3
TCGA-18-3409,TCGA-LUSC,chr1,158000000,158999999,10
TCGA-18-3409,TCGA-LUSC,chr1,159000000,159999999,5
TCGA-18-3409,TCGA-LUSC,chr1,160000000,160999999,6
TCGA-18-3409,TCGA-LUSC,chr1,161000000,161999999,4
TCGA-18-3409,TCGA-LUSC,chr1,162000000,162999999,3
TCGA-18-3409,TCGA-LUSC,chr1,163000000,163999999,1
TCGA-18-3409,TCGA-LUSC,chr1,167000000,167999999,2
TCGA-18-3409,TCGA-LUSC,chr1,168000000,168999999,2
TCGA-18-3409,TCGA-LUSC,chr1,169000000,169999999,3
TCGA-18-3409,TCGA-LUSC,chr1,170000000,170999999,2
TCGA-18-3409,TCGA-LUSC,chr1,171000000,171999999,1
TCGA-18-3409,TCGA-LUSC,chr1,172000000,172999999,2
TCGA-18-3409,TCGA-LUSC,chr1,173000000,173999999,4
TCGA-18-3409,TCGA-LUSC,chr1,174000000,174999999,2
TCGA-18-3409,TCGA-LUSC,chr1,175000000,175999999,1
TCGA-18-3409,TCGA-LUSC,chr1,176000000,176999999,5
TCGA-18-3409,TCGA-LUSC,chr1,177000000,177999999,1
TCGA-18-3409,TCGA-LUSC,chr1,178000000,178999999,3
TCGA-18-3409,TCGA-LUSC,chr1,179000000,179999999,4
TCGA-18-3409,TCGA-LUSC,chr1,180000000,180999999,1
TCGA-18-3409,TCGA-LUSC,chr1,181000000,181999999,2
TCGA-18-3409,TCGA-LUSC,chr1,182000000,182999999,1
TCGA-18-3409,TCGA-LUSC,chr1,183000000,183999999,3
TCGA-18-3409,TCGA-LUSC,chr1,184000000,184999999,1
TCGA-18-3409,TCGA-LUSC,chr1,185000000,185999999,1
TCGA-18-3409,TCGA-LUSC,chr1,186000000,186999999,3
TCGA-18-3409,TCGA-LUSC,chr1,192000000,192999999,2
TCGA-18-3409,TCGA-LUSC,chr1,196000000,196999999,3
TCGA-18-3409,TCGA-LUSC,chr1,197000000,197999999,8
TCGA-18-3409,TCGA-LUSC,chr1,198000000,198999999,1
TCGA-18-3409,TCGA-LUSC,chr1,200000000,200999999,1
TCGA-18-3409,TCGA-LUSC,chr1,202000000,202999999,2
TCGA-18-3409,TCGA-LUSC,chr1,203000000,203999999,1
TCGA-18-3409,TCGA-LUSC,chr1,204000000,204999999,1
TCGA-18-3409,TCGA-LUSC,chr1,205000000,205999999,4
TCGA-18-3409,TCGA-LUSC,chr1,206000000,206999999,2
TCGA-18-3409,TCGA-LUSC,chr1,207000000,207999999,2
TCGA-18-3409,TCGA-LUSC,chr1,208000000,208999999,1
TCGA-18-3409,TCGA-LUSC,chr1,209000000,209999999,2
TCGA-18-3409,TCGA-LUSC,chr1,211000000,211999999,1
TCGA-18-3409,TCGA-LUSC,chr1,213000000,213999999,1
TCGA-18-3409,TCGA-LUSC,chr1,215000000,215999999,3
TCGA-18-3409,TCGA-LUSC,chr1,222000000,222999999,4
TCGA-18-3409,TCGA-LUSC,chr1,223000000,223999999,1
TCGA-18-3409,TCGA-LUSC,chr1,225000000,225999999,1
TCGA-18-3409,TCGA-LUSC,chr1,228000000,228999999,4
TCGA-18-3409,TCGA-LUSC,chr1,229000000,229999999,3
TCGA-18-3409,TCGA-LUSC,chr1,230000000,230999999,2
TCGA-18-3409,TCGA-LUSC,chr1,233000000,233999999,1
TCGA-18-3409,TCGA-LUSC,chr1,237000000,237999999,3
TCGA-18-3409,TCGA-LUSC,chr1,239000000,239999999,1
TCGA-18-3409,TCGA-LUSC,chr1,240000000,240999999,4
TCGA-18-3409,TCGA-LUSC,chr1,241000000,241999999,3
TCGA-18-3409,TCGA-LUSC,chr1,242000000,242999999,1
TCGA-18-3409,TCGA-LUSC,chr1,243000000,243999999,1
TCGA-18-3409,TCGA-LUSC,chr1,246000000,246999999,1
TCGA-18-3409,TCGA-LUSC,chr1,247000000,247999999,11
TCGA-18-3409,TCGA-LUSC,chr1,248000000,248999999,15
TCGA-18-3409,TCGA-LUSC,chr10,5000000,5999999,4
TCGA-18-3409,TCGA-LUSC,chr10,6000000,6999999,1
TCGA-18-3409,TCGA-LUSC,chr10,7000000,7999999,3
TCGA-18-3409,TCGA-LUSC,chr10,12000000,12999999,1
TCGA-18-3409,TCGA-LUSC,chr10,13000000,13999999,2
TCGA-18-3409,TCGA-LUSC,chr10,15000000,15999999,1
TCGA-18-3409,TCGA-LUSC,chr10,16000000,16999999,7
TCGA-18-3409,TCGA-LUSC,chr10,17000000,17999999,9
TCGA-18-3409,TCGA-LUSC,chr10,18000000,18999999,1
TCGA-18-3409,TCGA-LUSC,chr10,25000000,25999999,3
TCGA-18-3409,TCGA-LUSC,chr10,26000000,26999999,4
TCGA-18-3409,TCGA-LUSC,chr10,28000000,28999999,1
TCGA-18-3409,TCGA-LUSC,chr10,30000000,30999999,4
TCGA-18-3409,TCGA-LUSC,chr10,31000000,31999999,1
TCGA-18-3409,TCGA-LUSC,chr10,32000000,32999999,1
TCGA-18-3409,TCGA-LUSC,chr10,33000000,33999999,1
TCGA-18-3409,TCGA-LUSC,chr10,34000000,34999999,1
TCGA-18-3409,TCGA-LUSC,chr10,35000000,35999999,1
TCGA-18-3409,TCGA-LUSC,chr10,37000000,37999999,1
TCGA-18-3409,TCGA-LUSC,chr10,42000000,42999999,1
TCGA-18-3409,TCGA-LUSC,chr10,43000000,43999999,1
TCGA-18-3409,TCGA-LUSC,chr10,45000000,45999999,1
TCGA-18-3409,TCGA-LUSC,chr10,47000000,47999999,3
TCGA-18-3409,TCGA-LUSC,chr10,48000000,48999999,1
TCGA-18-3409,TCGA-LUSC,chr10,49000000,49999999,2
TCGA-18-3409,TCGA-LUSC,chr10,50000000,50999999,1
TCGA-18-3409,TCGA-LUSC,chr10,52000000,52999999,1
TCGA-18-3409,TCGA-LUSC,chr10,53000000,53999999,1
TCGA-18-3409,TCGA-LUSC,chr10,54000000,54999999,1
TCGA-18-3409,TCGA-LUSC,chr10,60000000,60999999,1
TCGA-18-3409,TCGA-LUSC,chr10,62000000,62999999,4
TCGA-18-3409,TCGA-LUSC,chr10,67000000,67999999,2
TCGA-18-3409,TCGA-LUSC,chr10,68000000,68999999,1
TCGA-18-3409,TCGA-LUSC,chr10,69000000,69999999,1
TCGA-18-3409,TCGA-LUSC,chr10,70000000,70999999,3
TCGA-18-3409,TCGA-LUSC,chr10,71000000,71999999,1
TCGA-18-3409,TCGA-LUSC,chr10,72000000,72999999,1
TCGA-18-3409,TCGA-LUSC,chr10,73000000,73999999,5
TCGA-18-3409,TCGA-LUSC,chr10,75000000,75999999,1
TCGA-18-3409,TCGA-LUSC,chr10,77000000,77999999,2
TCGA-18-3409,TCGA-LUSC,chr10,80000000,80999999,1
TCGA-18-3409,TCGA-LUSC,chr10,84000000,84999999,3
TCGA-18-3409,TCGA-LUSC,chr10,85000000,85999999,3
TCGA-18-3409,TCGA-LUSC,chr10,86000000,86999999,2
TCGA-18-3409,TCGA-LUSC,chr10,87000000,87999999,1
TCGA-18-3409,TCGA-LUSC,chr10,88000000,88999999,1
TCGA-18-3409,TCGA-LUSC,chr10,89000000,89999999,1
TCGA-18-3409,TCGA-LUSC,chr10,91000000,91999999,1
TCGA-18-3409,TCGA-LUSC,chr10,94000000,94999999,5
TCGA-18-3409,TCGA-LUSC,chr10,95000000,95999999,1
TCGA-18-3409,TCGA-LUSC,chr10,96000000,96999999,3
TCGA-18-3409,TCGA-LUSC,chr10,97000000,97999999,2
TCGA-18-3409,TCGA-LUSC,chr10,100000000,100999999,1
TCGA-18-3409,TCGA-LUSC,chr10,101000000,101999999,1
TCGA-18-3409,TCGA-LUSC,chr10,102000000,102999999,1
TCGA-18-3409,TCGA-LUSC,chr10,103000000,103999999,3
TCGA-18-3409,TCGA-LUSC,chr10,104000000,104999999,1
TCGA-18-3409,TCGA-LUSC,chr10,105000000,105999999,1
TCGA-18-3409,TCGA-LUSC,chr10,106000000,106999999,2
TCGA-18-3409,TCGA-LUSC,chr10,112000000,112999999,1
TCGA-18-3409,TCGA-LUSC,chr10,113000000,113999999,3
TCGA-18-3409,TCGA-LUSC,chr10,114000000,114999999,5
TCGA-18-3409,TCGA-LUSC,chr10,115000000,115999999,1
TCGA-18-3409,TCGA-LUSC,chr10,116000000,116999999,2
TCGA-18-3409,TCGA-LUSC,chr10,117000000,117999999,1
TCGA-18-3409,TCGA-LUSC,chr10,119000000,119999999,2
TCGA-18-3409,TCGA-LUSC,chr10,122000000,122999999,2
TCGA-18-3409,TCGA-LUSC,chr10,123000000,123999999,1
TCGA-18-3409,TCGA-LUSC,chr10,124000000,124999999,1
TCGA-18-3409,TCGA-LUSC,chr10,125000000,125999999,2
TCGA-18-3409,TCGA-LUSC,chr10,126000000,126999999,2
TCGA-18-3409,TCGA-LUSC,chr10,127000000,127999999,1
TCGA-18-3409,TCGA-LUSC,chr10,129000000,129999999,1
TCGA-18-3409,TCGA-LUSC,chr10,131000000,131999999,3
TCGA-18-3409,TCGA-LUSC,chr10,132000000,132999999,2
TCGA-18-3409,TCGA-LUSC,chr10,133000000,133999999,4
TCGA-18-3409,TCGA-LUSC,chr11,0,999999,3
TCGA-18-3409,TCGA-LUSC,chr11,1000000,1999999,10
TCGA-18-3409,TCGA-LUSC,chr11,2000000,2999999,1
TCGA-18-3409,TCGA-LUSC,chr11,4000000,4999999,3
TCGA-18-3409,TCGA-LUSC,chr11,5000000,5999999,10
TCGA-18-3409,TCGA-LUSC,chr11,6000000,6999999,6
TCGA-18-3409,TCGA-LUSC,chr11,7000000,7999999,3
TCGA-18-3409,TCGA-LUSC,chr11,10000000,10999999,1
TCGA-18-3409,TCGA-LUSC,chr11,14000000,14999999,1
TCGA-18-3409,TCGA-LUSC,chr11,18000000,18999999,1
TCGA-18-3409,TCGA-LUSC,chr11,20000000,20999999,2
TCGA-18-3409,TCGA-LUSC,chr11,22000000,22999999,2
TCGA-18-3409,TCGA-LUSC,chr11,30000000,30999999,3
TCGA-18-3409,TCGA-LUSC,chr11,33000000,33999999,2
TCGA-18-3409,TCGA-LUSC,chr11,34000000,34999999,1
TCGA-18-3409,TCGA-LUSC,chr11,35000000,35999999,2
TCGA-18-3409,TCGA-LUSC,chr11,36000000,36999999,1
TCGA-18-3409,TCGA-LUSC,chr11,45000000,45999999,2
TCGA-18-3409,TCGA-LUSC,chr11,46000000,46999999,1
TCGA-18-3409,TCGA-LUSC,chr11,47000000,47999999,5
TCGA-18-3409,TCGA-LUSC,chr11,48000000,48999999,2
TCGA-18-3409,TCGA-LUSC,chr11,55000000,55999999,8
TCGA-18-3409,TCGA-LUSC,chr11,56000000,56999999,21
TCGA-18-3409,TCGA-LUSC,chr11,57000000,57999999,2
TCGA-18-3409,TCGA-LUSC,chr11,58000000,58999999,4
TCGA-18-3409,TCGA-LUSC,chr11,59000000,59999999,4
TCGA-18-3409,TCGA-LUSC,chr11,60000000,60999999,3
TCGA-18-3409,TCGA-LUSC,chr11,61000000,61999999,1
TCGA-18-3409,TCGA-LUSC,chr11,62000000,62999999,3
TCGA-18-3409,TCGA-LUSC,chr11,63000000,63999999,1
TCGA-18-3409,TCGA-LUSC,chr11,64000000,64999999,7
TCGA-18-3409,TCGA-LUSC,chr11,65000000,65999999,9
TCGA-18-3409,TCGA-LUSC,chr11,66000000,66999999,3
TCGA-18-3409,TCGA-LUSC,chr11,67000000,67999999,4
TCGA-18-3409,TCGA-LUSC,chr11,68000000,68999999,6
TCGA-18-3409,TCGA-LUSC,chr11,69000000,69999999,2
TCGA-18-3409,TCGA-LUSC,chr11,70000000,70999999,3
TCGA-18-3409,TCGA-LUSC,chr11,71000000,71999999,1
